index_id,sft_prompt,sft_label,generate_results
04258df410d3ec5d53e64de9f49b26be,"{""query"": ""我在佳兆业君汇公馆，想去石芽岭(地铁站)，怎么坐车？"", ""start"": ""114.130533,22.692349"", ""end"": ""114.137989,22.628479"", ""city"": ""深圳""}","{""line_sequence"": [""977路(启英学校--田贝总站)""], ""station_sequence"": [""平湖派出所"", ""平湖中心小学"", ""富伟厂"", ""富民路口"", ""华南城交易中心"", ""华盛奥特莱斯"", ""木古地铁站"", ""新木盛低碳产业园"", ""友信食品城"", ""上李朗地铁站"", ""左右家私"", ""宝福珠宝园"", ""李朗国际珠宝园"", ""第三人民医院"", ""联创科技园"", ""石芽岭地铁站""], ""total_distance"": ""10.3公里"", ""total_time"": ""46分钟"", ""total_fare"": ""2"", ""start_transfer_mode"": ""步行"", ""end_transfer_mode"": ""步行"", ""start_transfer_distance"": ""185米"", ""end_transfer_distance"": ""77米""}","{""line_sequence"":[""地铁10号线""],""station_sequence"":[""雅宝"",""石芽岭""],""total_distance"":""约8.1公里"",""total_time"":""约24分钟"",""total_fare"":""3元"",""start_transfer_mode"":""步行"",""end_transfer_mode"":"""",""start_transfer_distance"":""约900米"",""end_transfer_distance"":""""}"
9de7f78eec9eb8e9de6613468efe2bdb,"{""query"": ""请规划打浦桥(地铁站)到上海中医药大学附属曙光医院(东院)的完整出行方案"", ""start"": ""121.468681,31.206309"", ""end"": ""121.593893,31.186407"", ""city"": ""上海""}","{""line_sequence"": [""地铁9号线(上海松江站--曹路)"", ""地铁2号线(国家会展中心(2号线)--浦东1号2号航站楼)""], ""station_sequence"": [""打浦桥"", ""马当路"", ""陆家浜路"", ""小南门"", ""商城路"", ""世纪大道"", ""【换乘】"", ""世纪大道"", ""上海科技馆"", ""世纪公园"", ""龙阳路"", ""张江高科""], ""total_distance"": ""16.1公里"", ""total_time"": ""1小时8分钟"", ""total_fare"": ""4"", ""start_transfer_mode"": ""步行"", ""end_transfer_mode"": ""步行"", ""start_transfer_distance"": """", ""end_transfer_distance"": ""2.0公里""}","{""line_sequence"":[""地铁9号线"",""地铁6号线""],""station_sequence"":[""打浦桥"",""世纪大道"",""世纪大道"",""蓝村路""],""total_distance"":""15.8公里"",""total_time"":""38分钟"",""total_fare"":""5元"",""start_transfer_mode"":"""",""end_transfer_mode"":""步行"",""start_transfer_distance"":"""",""end_transfer_distance"":""900米""}"
a5754d5ea09064b93c19192800ec7d87,"{""query"": ""从桐画酒店(上海国际旅游度假区店)到陆家嘴该怎么坐公共交通？"", ""start"": ""121.712369,31.108649"", ""end"": ""121.502501,31.237014"", ""city"": ""上海""}","{""line_sequence"": [""地铁2号线(浦东1号2号航站楼--国家会展中心(2号线))""], ""station_sequence"": [""川沙"", ""华夏东路"", ""创新中路"", ""唐镇"", ""广兰路"", ""金科路"", ""张江高科"", ""龙阳路"", ""世纪公园"", ""上海科技馆"", ""世纪大道"", ""浦东南路(原东昌路)"", ""陆家嘴""], ""total_distance"": ""34.4公里"", ""total_time"": ""1小时5分钟"", ""total_fare"": ""38.0"", ""start_transfer_mode"": ""打车"", ""end_transfer_mode"": ""步行"", ""start_transfer_distance"": ""10.9公里"", ""end_transfer_distance"": ""261米""}","{""line_sequence"":[""地铁11号线"",""地铁2号线""],""station_sequence"":[""迪士尼"",""江苏路"",""江苏路"",""陆家嘴""],""total_distance"":""约34公里"",""total_time"":""约65分钟"",""total_fare"":""6元"",""start_transfer_mode"":""步行"",""end_transfer_mode"":""步行"",""start_transfer_distance"":""约1.6公里"",""end_transfer_distance"":""约300米""}"
61ef81efae024445306808827de4b048,"{""query"": ""路线查询：深圳北站出发，终点深圳会展中心"", ""start"": ""114.029506,22.609878"", ""end"": ""114.059815,22.530828"", ""city"": ""深圳""}","{""line_sequence"": [""地铁4号线(龙华线)(牛湖--福田口岸)""], ""station_sequence"": [""深圳北站"", ""白石龙"", ""民乐"", ""上梅林"", ""莲花北"", ""少年宫"", ""市民中心"", ""会展中心""], ""total_distance"": ""10.0公里"", ""total_time"": ""25分钟"", ""total_fare"": ""4"", ""start_transfer_mode"": ""步行"", ""end_transfer_mode"": ""步行"", ""start_transfer_distance"": """", ""end_transfer_distance"": ""457米""}","{""line_sequence"":[""地铁4号线"",""地铁1号线""],""station_sequence"":[""深圳北站"",""会展中心"",""会展中心"",""会展中心""],""total_distance"":""约17.5公里"",""total_time"":""约32分钟"",""total_fare"":""5元"",""start_transfer_mode"":"""",""end_transfer_mode"":""步行"",""start_transfer_distance"":"""",""end_transfer_distance"":""约350米""}"
79c508cd3f7a1043b13737c13b61269a,"{""query"": ""蓉西新城B区到千禧大酒店路线"", ""start"": ""103.818833,30.640169"", ""end"": ""104.041622,30.651331"", ""city"": ""成都""}","{""line_sequence"": [""W08路(金石路站--地铁明光站)"", ""地铁19号线(金星--天府机场北)"", ""地铁17号线(九江北--高洪)""], ""station_sequence"": [""科华路中段站"", ""鱼凫家园站"", ""温泉大道青啤大道路口站"", ""骑士大道温泉大道三段口"", ""临时上下客处(九天彝情农家乐)"", ""地铁明光站"", ""【换乘】"", ""明光"", ""九江北"", ""【换乘】"", ""九江北"", ""白佛桥"", ""机投桥"", ""阳公桥"", ""龙爪堰"", ""清水河大桥"", ""浣花里(省医院草堂院区)"", ""省骨科医院""], ""total_distance"": ""24.4公里"", ""total_time"": ""57分钟"", ""total_fare"": ""8.0"", ""start_transfer_mode"": ""步行"", ""end_transfer_mode"": ""步行"", ""start_transfer_distance"": ""22米"", ""end_transfer_distance"": ""142米""}","{""line_sequence"":[""地铁6号线"",""地铁1号线""],""station_sequence"":[""侯家桥"",""人民北路"",""人民北路"",""文殊院""],""total_distance"":""约18.6公里"",""total_time"":""约42分钟"",""total_fare"":""5元"",""start_transfer_mode"":""步行"",""end_transfer_mode"":""步行"",""start_transfer_distance"":""约900米"",""end_transfer_distance"":""约700米""}"
cb11400ddb5c89adb62c815b9b0a60c2,"{""query"": ""上海虹桥站去上海新国际博览中心怎么走"", ""start"": ""121.320081,31.193959"", ""end"": ""121.568003,31.210200"", ""city"": ""上海""}","{""line_sequence"": [""地铁2号线(国家会展中心(2号线)--浦东1号2号航站楼)"", ""地铁7号线(美兰湖--花木路)""], ""station_sequence"": [""虹桥火车站"", ""虹桥2号航站楼"", ""淞虹路"", ""北新泾"", ""威宁路"", ""娄山关路"", ""中山公园"", ""江苏路"", ""静安寺"", ""南京西路"", ""人民广场"", ""南京东路"", ""陆家嘴"", ""浦东南路(原东昌路)"", ""世纪大道"", ""上海科技馆"", ""世纪公园"", ""龙阳路"", ""【换乘】"", ""龙阳路"", ""花木路""], ""total_distance"": ""30.0公里"", ""total_time"": ""1小时3分钟"", ""total_fare"": ""6.0"", ""start_transfer_mode"": ""步行"", ""end_transfer_mode"": ""步行"", ""start_transfer_distance"": ""65米"", ""end_transfer_distance"": ""196米""}","{""line_sequence"":[""地铁2号线""],""station_sequence"":[""虹桥火车站"",""龙阳路""],""total_distance"":""约28公里"",""total_time"":""约50分钟"",""total_fare"":""6元"",""start_transfer_mode"":""步行"",""end_transfer_mode"":""步行"",""start_transfer_distance"":""约200米"",""end_transfer_distance"":""约900米""}"
0cc56291069889b97d081eaadf0dc4ae,"{""query"": ""出行咨询：从中粮·前滩海景壹号到中国人寿金融中心的公共交通方案"", ""start"": ""121.481070,31.160286"", ""end"": ""121.511003,31.240682"", ""city"": ""上海""}","{""line_sequence"": [""地铁8号线(沈杜公路--市光路)"", ""地铁14号线(封浜--桂桥路)""], ""station_sequence"": [""东方体育中心"", ""杨思"", ""成山路"", ""耀华路"", ""中华艺术宫"", ""西藏南路"", ""陆家浜路"", ""老西门"", ""大世界"", ""【换乘】"", ""大世界"", ""豫园"", ""陆家嘴"", ""浦东南路""], ""total_distance"": ""14.5公里"", ""total_time"": ""59分钟"", ""total_fare"": ""4"", ""start_transfer_mode"": ""步行"", ""end_transfer_mode"": ""步行"", ""start_transfer_distance"": ""962米"", ""end_transfer_distance"": ""545米""}","{""line_sequence"":[""地铁6号线"",""地铁2号线""],""station_sequence"":[""东方体育中心"",""世纪大道"",""世纪大道"",""陆家嘴""],""total_distance"":""12.8公里"",""total_time"":""41分钟"",""total_fare"":""4元"",""start_transfer_mode"":""步行"",""end_transfer_mode"":""步行"",""start_transfer_distance"":""1.1公里"",""end_transfer_distance"":""700米""}"
7e48019d3919e8ac71f9fb9898285494,"{""query"": ""上海虹桥站到上海静安瑞吉酒店路线"", ""start"": ""121.320081,31.193959"", ""end"": ""121.456245,31.231240"", ""city"": ""上海""}","{""line_sequence"": [""地铁2号线(国家会展中心(2号线)--浦东1号2号航站楼)""], ""station_sequence"": [""虹桥火车站"", ""虹桥2号航站楼"", ""淞虹路"", ""北新泾"", ""威宁路"", ""娄山关路"", ""中山公园"", ""江苏路"", ""静安寺"", ""南京西路""], ""total_distance"": ""17.6公里"", ""total_time"": ""39分钟"", ""total_fare"": ""4"", ""start_transfer_mode"": ""步行"", ""end_transfer_mode"": ""步行"", ""start_transfer_distance"": ""65米"", ""end_transfer_distance"": ""575米""}","{""line_sequence"":[""地铁2号线"",""地铁7号线""],""station_sequence"":[""虹桥火车站"",""静安寺"",""静安寺"",""昌平路""],""total_distance"":""18.6公里"",""total_time"":""42分钟"",""total_fare"":""5元"",""start_transfer_mode"":""步行"",""end_transfer_mode"":""步行"",""start_transfer_distance"":""250米"",""end_transfer_distance"":""900米""}"
510f280d7a8c069b509840313b0f0863,"{""query"": ""从雪野家园到上海长征医院(浦东院区)咋走？"", ""start"": ""121.499908,31.184191"", ""end"": ""121.678348,31.271873"", ""city"": ""上海""}","{""line_sequence"": [""地铁7号线(美兰湖--花木路)"", ""地铁6号线(东方体育中心--港城路)"", ""地铁9号线(上海松江站--曹路)""], ""station_sequence"": [""云台路"", ""高科西路"", ""【换乘】"", ""高科西路"", ""临沂新村"", ""上海儿童医学中心"", ""蓝村路"", ""浦电路"", ""世纪大道"", ""【换乘】"", ""世纪大道"", ""杨高中路"", ""芳甸路"", ""蓝天路"", ""台儿庄路"", ""金桥"", ""金吉路"", ""金海路"", ""顾唐路"", ""民雷路"", ""曹路""], ""total_distance"": ""23.7公里"", ""total_time"": ""1小时7分钟"", ""total_fare"": ""5.0"", ""start_transfer_mode"": ""步行"", ""end_transfer_mode"": ""步行"", ""start_transfer_distance"": ""155米"", ""end_transfer_distance"": ""497米""}","{""line_sequence"":[""地铁8号线"",""地铁6号线""],""station_sequence"":[""杨思"",""东方体育中心"",""东方体育中心"",""华夏西路""],""total_distance"":""约24.6公里"",""total_time"":""约58分钟"",""total_fare"":""5元"",""start_transfer_mode"":""步行"",""end_transfer_mode"":""步行"",""start_transfer_distance"":""约900米"",""end_transfer_distance"":""约1.1公里""}"
d467ead988370a2234156ef661c3194e,"{""query"": ""深圳站到西丽(地铁站)怎么乘车？"", ""start"": ""114.117716,22.531951"", ""end"": ""113.954396,22.580678"", ""city"": ""深圳""}","{""line_sequence"": [""地铁1号线(罗宝线)(罗湖--机场东)"", ""地铁7号线(西丽线)(太安--深大丽湖)""], ""station_sequence"": [""罗湖"", ""国贸"", ""老街"", ""大剧院"", ""科学馆"", ""华强路"", ""岗厦"", ""会展中心"", ""购物公园"", ""香蜜湖"", ""车公庙"", ""【换乘】"", ""车公庙"", ""农林"", ""安托山"", ""深云"", ""桃源村"", ""龙井"", ""珠光"", ""茶光"", ""西丽""], ""total_distance"": ""22.8公里"", ""total_time"": ""57分钟"", ""total_fare"": ""6.0"", ""start_transfer_mode"": ""步行"", ""end_transfer_mode"": """", ""start_transfer_distance"": ""163米"", ""end_transfer_distance"": """"}","{""line_sequence"":[""地铁1号线""],""station_sequence"":[""罗湖"",""西丽""],""total_distance"":""约22.5公里"",""total_time"":""约45分钟"",""total_fare"":""6元"",""start_transfer_mode"":""步行"",""end_transfer_mode"":""步行"",""start_transfer_distance"":""约200米"",""end_transfer_distance"":""约150米""}"
